ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
dog,butterfly,goat,elephant,bat,hog,crocodile,whale,turkey,"['stim2', 'stim3', 'stim5', 'stim4', 'stim7', 'stim6', 'stim8', 'stim1']","['goat', 'elephant', 'hog', 'bat', 'whale', 'crocodile', 'turkey', 'butterfly']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
duck,mouse,spider,dog,cow,turtle,shark,giraffe,crocodile,"['stim5', 'stim1', 'stim4', 'stim3', 'stim7', 'stim8', 'stim6', 'stim2']","['turtle', 'mouse', 'cow', 'dog', 'giraffe', 'crocodile', 'shark', 'spider']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
rat,giraffe,bear,butterfly,ant,pigeon,snake,elephant,snail,"['stim5', 'stim1', 'stim2', 'stim7', 'stim6', 'stim4', 'stim3', 'stim8']","['pigeon', 'giraffe', 'bear', 'elephant', 'snake', 'ant', 'butterfly', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
elephant,dog,bluebird,bat,monkey,mouse,giraffe,snake,spider,"['stim4', 'stim1', 'stim5', 'stim6', 'stim3', 'stim7', 'stim2', 'stim8']","['monkey', 'dog', 'mouse', 'giraffe', 'bat', 'snake', 'bluebird', 'spider']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
eagle,dolphin,giraffe,mouse,rat,pigeon,bear,sheep,crocodile,"['stim5', 'stim4', 'stim3', 'stim7', 'stim8', 'stim6', 'stim2', 'stim1']","['pigeon', 'rat', 'mouse', 'sheep', 'crocodile', 'bear', 'giraffe', 'dolphin']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
ant,cat,sparrow,snail,dog,whale,monkey,hog,cow,"['stim3', 'stim2', 'stim7', 'stim8', 'stim1', 'stim4', 'stim6', 'stim5']","['snail', 'sparrow', 'hog', 'cow', 'cat', 'dog', 'monkey', 'whale']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
bat,turkey,pigeon,tiger,snake,horse,snail,cat,duck,"['stim7', 'stim8', 'stim2', 'stim1', 'stim5', 'stim3', 'stim4', 'stim6']","['cat', 'duck', 'pigeon', 'turkey', 'horse', 'tiger', 'snake', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
dolphin,monkey,frog,cow,shark,whale,snake,horse,sparrow,"['stim5', 'stim4', 'stim7', 'stim3', 'stim1', 'stim6', 'stim2', 'stim8']","['whale', 'shark', 'horse', 'cow', 'monkey', 'snake', 'frog', 'sparrow']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
crocodile,tiger,duck,turkey,cow,frog,sparrow,butterfly,bear,"['stim5', 'stim1', 'stim4', 'stim8', 'stim3', 'stim2', 'stim7', 'stim6']","['frog', 'tiger', 'cow', 'bear', 'turkey', 'duck', 'butterfly', 'sparrow']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
giraffe,cow,bear,snail,spider,sheep,hog,dog,elephant,"['stim8', 'stim7', 'stim2', 'stim1', 'stim5', 'stim6', 'stim4', 'stim3']","['elephant', 'dog', 'bear', 'cow', 'sheep', 'hog', 'spider', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
goat,sheep,bat,snail,elephant,dolphin,spider,sparrow,giraffe,"['stim1', 'stim8', 'stim4', 'stim2', 'stim5', 'stim7', 'stim3', 'stim6']","['sheep', 'giraffe', 'elephant', 'bat', 'dolphin', 'sparrow', 'snail', 'spider']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
duck,bluebird,bat,horse,sheep,owl,snail,goat,whale,"['stim1', 'stim5', 'stim2', 'stim4', 'stim7', 'stim3', 'stim6', 'stim8']","['bluebird', 'owl', 'bat', 'sheep', 'goat', 'horse', 'snail', 'whale']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
goat,tiger,shark,monkey,snake,dog,pigeon,lizard,fox,"['stim5', 'stim8', 'stim1', 'stim3', 'stim7', 'stim6', 'stim2', 'stim4']","['dog', 'fox', 'tiger', 'monkey', 'lizard', 'pigeon', 'shark', 'snake']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
ant,elephant,fox,duck,frog,owl,goat,tiger,bluebird,"['stim4', 'stim8', 'stim3', 'stim5', 'stim6', 'stim2', 'stim1', 'stim7']","['frog', 'bluebird', 'duck', 'owl', 'goat', 'fox', 'elephant', 'tiger']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
lizard,rat,whale,dolphin,horse,goldfish,eagle,goat,tiger,"['stim1', 'stim7', 'stim5', 'stim6', 'stim4', 'stim8', 'stim3', 'stim2']","['rat', 'goat', 'goldfish', 'eagle', 'horse', 'tiger', 'dolphin', 'whale']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
ant,duck,rat,butterfly,giraffe,horse,fox,spider,goldfish,"['stim7', 'stim3', 'stim8', 'stim2', 'stim1', 'stim6', 'stim5', 'stim4']","['spider', 'butterfly', 'goldfish', 'rat', 'duck', 'fox', 'horse', 'giraffe']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
bear,horse,lizard,cat,ant,sparrow,giraffe,pigeon,owl,"['stim1', 'stim6', 'stim3', 'stim2', 'stim8', 'stim7', 'stim5', 'stim4']","['horse', 'giraffe', 'cat', 'lizard', 'owl', 'pigeon', 'sparrow', 'ant']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
